make,model,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province,country
NISSAN,X-TRAIL,25990,Gasolina,2019.0,140,160.0,5,Automático,Rojo,8,True,Tarragona,Spain
CITROEN,C3 Aircross,15190,Diésel,2018.0,67555,120.0,5,Manual,Blanco,22,True,Barcelona,Spain
AUDI,A5,18980,Diésel,2013.0,200000,245.0,2,Automático,Azul,20,True,Málaga,Spain
PORSCHE,Cayenne,16500,Gasolina,2009.0,155500,290.0,5,Manual,Blanco,35,True,Barcelona,Spain
BMW,Serie 3,7500,Gasolina,2006.0,288845,258.0,4,Automático,Negro,0,False,Barcelona,Spain
VOLKSWAGEN,Passat,12990,Diésel,2016.0,79067,120.0,5,Manual,Azul,11,True,Barcelona,Spain
RENAULT,Captur,23500,Gasolina,2020.0,3542,155.0,5,Automático,Negro,23,True,Guipúzcoa,Spain
VOLKSWAGEN,Polo,2490,Diésel,2004.0,200000,64.0,5,Manual,Gris / Plata,10,True,Álava,Spain
BMW,Serie 2,24950,Gasolina,2019.0,10000,136.0,2,Manual,Blanco,7,True,Las Palmas,Spain
FORD,Transit Connect,10900,Diésel,2015.0,94500,95.0,5,Manual,Blanco,33,True,Barcelona,Spain
SEAT,León,12500,Gasolina,2016.0,29024,110.0,3,Manual,Blanco (*PAT*),28,True,Madrid,Spain
SEAT,León,19990,Diésel,2018.0,66000,184.0,5,Automático,Gris / Plata,31,True,Valencia,Spain
HONDA,Civic,4500,Diésel,2005.0,96990,100.0,3,Manual,Rojo,26,True,Madrid,Spain
VOLKSWAGEN,Golf,8750,Diésel,2014.0,198800,105.0,5,,Gris / Plata,4,False,A Coruña,Spain
TOYOTA,Yaris,3500,Diésel,2008.0,120000,90.0,5,Manual,Negro,5,False,Sevilla,Spain
CITROEN,C4,2800,Diésel,2005.0,263398,110.0,5,Manual,Gris / Plata,12,True,Valencia,Spain
RENAULT,Grand Scénic,1500,Diésel,2005.0,235000,100.0,5,Manual,Gris / Plata,0,False,Almería,Spain
CITROEN,C3,4500,Diésel,2006.0,129470,70.0,5,Manual,Beige,11,True,Murcia,Spain
SUBARU,Legacy,2500,Diésel,2008.0,194000,150.0,4,Manual,Blanco,7,False,Tarragona,Spain
NISSAN,NV200,5999,Diésel,2010.0,154000,85.0,5,Manual,Blanco,11,True,Madrid,Spain
MINI,MINI,22800,Gasolina,2016.0,38000,192.0,5,Automático,Blanco,10,False,Madrid,Spain
NISSAN,LEAF,27086,Eléctrico,2020.0,10,150.0,5,Automático,Blanco (Tela reciclada negra),21,True,Madrid,Spain
AUDI,A4,9300,Diésel,2012.0,270000,143.0,5,Manual,Blanco,10,True,Sevilla,Spain
TOYOTA,Rav4,19890,Diésel,2017.0,75000,143.0,5,Manual,Rojo,14,True,Sevilla,Spain
BMW,X1,18900,Diésel,2016.0,165000,150.0,5,Automático,Negro,5,True,Valencia,Spain
PEUGEOT,308,14900,Gasolina,2018.0,43489,130.0,5,Manual,Azul,2,False,Valencia,Spain
AUDI,A8,4999,Gasolina,2004.0,420000,335.0,4,Automático,Negro,11,True,Alicante,Spain
OPEL,Grandland X,18900,Gasolina,2019.0,30090,130.0,5,Manual,Azul,22,True,Pontevedra,Spain
CITROEN,C4,6900,Diésel,2011.0,126000,92.0,5,Manual,Blanco,16,True,Navarra,Spain
KIA,Pro Ceed,10500,Diésel,2016.0,90000,136.0,3,Manual,Gris / Plata (Plata),42,True,Madrid,Spain
FORD,Mondeo,26400,Diésel,2017.0,21000,210.0,5,Automático,Marrón,18,False,Alicante,Spain
SEAT,ALTEA,7900,Diésel,2012.0,119000,105.0,5,Automático,Rojo,29,True,Madrid,Spain
CITROEN,C3,2490,Diésel,2005.0,200000,70.0,5,Manual,Gris / Plata,11,False,Málaga,Spain
HONDA,Accord,1999,Gasolina,2000.0,208000,200.0,2,Automático,Naranja,11,True,Madrid,Spain
CITROEN,C-Elysée,12300,Diésel,2020.0,17694,102.0,4,Manual,Gris / Plata,23,True,Madrid,Spain
CITROEN,C4 Cactus,14100,Diésel,2019.0,22363,99.0,5,Manual,Negro,19,True,Baleares,Spain
LAND-ROVER,Range Rover Evoque,26500,Diésel,2012.0,160000,190.0,3,Automático,Rojo,3,False,Jaén,Spain
LAND-ROVER,Range Rover Evoque,23900,Gasolina,2012.0,110000,240.0,5,Automático,Azul,23,True,Málaga,Spain
MERCEDES-BENZ,Clase CL,24900,Gasolina,2008.0,145000,388.0,2,Automático,Gris / Plata,42,True,Navarra,Spain
PORSCHE,Cayenne,37950,Diésel,2012.0,94000,245.0,5,Automático,Negro,44,True,Asturias,Spain
NISSAN,JUKE,9999,Diésel,2014.0,163000,110.0,5,Manual,Granate (Detalles en negro),17,True,Málaga,Spain
PORSCHE,Cayenne,11500,Gasolina,2004.0,250000,340.0,5,Automático,Granate,0,False,Madrid,Spain
VOLKSWAGEN,Passat,21900,Diésel,2017.0,41117,150.0,4,Automático,8E8E Plata RÃ©flex (mealizado),35,True,Madrid,Spain
RENAULT,Master,16450,Diésel,2017.0,110000,130.0,4,Manual,Blanco,14,True,Sevilla,Spain
BMW,Serie 3,4000,Diésel,2003.0,300000,150.0,4,Manual,Negro,1,False,Asturias,Spain
BMW,Serie 2,73900,Gasolina,2019.0,4576,410.0,2,Automático,475 Saphirschwarz (metalizado),4,True,A Coruña,Spain
BENTLEY,Continental GT,288100,Gasolina,2020.0,1,550.0,2,Automático,Blanco,33,True,Barcelona,Spain
MINI,MINI,16900,Gasolina,2018.0,35000,102.0,5,Automático,Rojo,9,True,Barcelona,Spain
JAGUAR,F-Pace,35000,Diésel,2018.0,39000,180.0,5,Automático,Negro,14,False,Madrid,Spain
BMW,X3,14890,Diésel,2010.0,118000,184.0,5,Manual,Negro,12,True,Barcelona,Spain
OPEL,Corsa,15000,Gasolina,2019.0,17813,100.0,5,Manual,Gris / Plata,24,True,Sevilla,Spain
BMW,Serie 3,3500,Diésel,2000.0,260000,184.0,4,Manual,Gris / Plata,5,False,Girona,Spain
FORD,Tourneo Custom,23940,Diésel,2018.0,60980,170.0,5,Manual,Blanco,19,True,Salamanca,Spain
VOLKSWAGEN,Touran,24791,Diésel,2020.0,1,115.0,5,Automático,Negro (Negro Profundo.),9,True,Valencia,Spain
FORD,Transit,7500,Diésel,2007.0,165000,110.0,4,Manual,Azul,6,False,Zaragoza,Spain
SKODA,Yeti,14701,Diésel,2015.0,172734,110.0,5,Manual,Gris / Plata,21,True,Valencia,Spain
AUDI,A4,9400,Diésel,2011.0,219000,143.0,5,Automático,Blanco,7,True,Barcelona,Spain
MERCEDES-BENZ,CLS,59900,Híbrido,2018.0,36000,367.0,4,Automático,Blanco,31,True,Barcelona,Spain
SEAT,León,18900,Gas natural (CNG),2019.0,18038,130.0,5,Manual,S7S7 Gris Magnetic (metalizado),19,True,Madrid,Spain
RENAULT,Mégane,7900,Diésel,2015.0,143000,110.0,5,Manual,Blanco,9,True,Badajoz,Spain
CITROEN,C3,2300,Gasolina,2006.0,60000,61.0,5,Manual,Granate,3,False,Vizcaya,Spain
VOLKSWAGEN,Tiguan,39990,Gasolina,2020.0,10,150.0,5,Automático,Negro,10,True,Huesca,Spain
PEUGEOT,2008,16490,Diésel,2018.0,26700,120.0,5,Manual,Blanco,16,True,Barcelona,Spain
VOLKSWAGEN,Tiguan,29490,Diésel,2019.0,5562,150.0,5,Automático,Blanco (0Q0Q Blanco Puro),20,True,Sevilla,Spain
PORSCHE,Macan,65000,Gasolina,2018.0,61000,360.0,5,Automático,Gris / Plata,12,True,Girona,Spain
HYUNDAI,i20,5000,Diésel,2011.0,189000,78.0,5,Manual,Gris / Plata,7,True,Asturias,Spain
FORD,Focus,1000,Diésel,2000.0,215224,90.0,5,Manual,Verde,9,False,Badajoz,Spain
CITROEN,Xsara Picasso,2199,Diésel,2004.0,150000,90.0,5,Manual,Verde,9,False,Madrid,Spain
CITROEN,C4 Cactus,16100,Diésel,2018.0,5546,99.0,5,Manual,Negro,13,True,Alicante,Spain
RENAULT,Clio,8250,Diésel,2017.0,99000,90.0,5,Manual,Blanco,19,True,Valencia,Spain
CADILLAC,SRX,28990,Gasolina,2011.0,99000,258.0,5,Automático,Beige,46,True,Madrid,Spain
SEAT,Ibiza,8499,Diésel,2017.0,106000,90.0,5,Manual,Blanco,12,False,Jaén,Spain
RENAULT,Talisman,17490,Diésel,2018.0,188487,160.0,5,Automático,Gris / Plata,36,True,Barcelona,Spain
VOLKSWAGEN,T-Roc,25110,Diésel,2019.0,24434,115.0,5,Manual,X3X3 Gris Indy (metalizado),12,True,Cádiz,Spain
CITROEN,Grand C4 Picasso,14199,Diésel,2016.0,59253,120.0,5,Manual,Gris / Plata,23,True,Sevilla,Spain
BMW,Serie 3,5000,Diésel,2006.0,280000,163.0,4,Automático,Negro,5,False,Cádiz,Spain
RENAULT,Kadjar,18500,Gasolina,2019.0,48914,140.0,5,Manual,Negro,14,True,Alicante,Spain
BMW,X6,32000,Diésel,2013.0,90000,245.0,5,Automático,Negro,5,False,Pontevedra,Spain
MERCEDES-BENZ,Clase GLC,36990,Diésel,2017.0,79000,170.0,5,Automático,Gris / Plata (selenita ),20,True,Cantabria,Spain
VOLVO,XC90,31995,Diésel,2015.0,110000,225.0,5,Automático,Gris / Plata (lunimus sand),30,True,Madrid,Spain
PEUGEOT,508 Hybrid,37800,Híbrido enchufable,2020.0,1000,225.0,5,Automático,Blanco,30,True,A Coruña,Spain
FIAT,Doblò Cargo,6900,Diésel,2016.0,86000,90.0,4,Manual,Blanco,7,True,Toledo,Spain
SKODA,Octavia,8700,Diésel,2014.0,82400,105.0,5,Manual,Negro,7,False,Badajoz,Spain
JEEP,Compass,20500,Gasolina,2019.0,7000,140.0,5,Manual,Negro,13,False,Zaragoza,Spain
TOYOTA,Rav4,22960,Híbrido,2016.0,90401,197.0,5,Automático,Gris / Plata,35,True,Madrid,Spain
CITROEN,C5 Aircross,25690,Diésel,2020.0,13318,131.0,5,Automático,Gris / Plata (Plateado),40,True,Madrid,Spain
FORD,Kuga,11900,Diésel,2014.0,145000,140.0,5,Manual,Negro,8,True,Madrid,Spain
VOLKSWAGEN,Golf,19000,Gasolina,2014.0,140000,230.0,5,Manual,Blanco,33,True,Lleida,Spain
FORD,KA,5000,Gasolina,2017.0,10000,69.0,3,,Blanco,5,False,Murcia,Spain
TOYOTA,Auris,9890,Gasolina,2013.0,103314,132.0,5,Manual,Blanco,10,True,Sevilla,Spain
AUDI,A5,18000,Diésel,2012.0,115800,177.0,5,Manual,Azul,29,True,Zaragoza,Spain
HYUNDAI,i30,19900,Gasolina,2020.0,10,120.0,5,Automático,Azul (STELLAR BLUE),27,True,Barcelona,Spain
MITSUBISHI,Outlander,25500,Híbrido enchufable,2018.0,40000,203.0,5,Automático,Gris / Plata,6,False,Barcelona,Spain
SEAT,Ibiza,5999,Gasolina,2013.0,135876,85.0,5,Manual,Blanco,16,True,Ciudad Real,Spain
MAZDA,Mazda3,23700,Gasolina,2020.0,10,122.0,5,Manual,Gris / Plata,22,True,Barcelona,Spain
MERCEDES-BENZ,Clase GLA,25500,Diésel,2017.0,34150,136.0,5,Automático,Rojo,31,True,Pontevedra,Spain
SMART,fortwo,13900,Eléctrico,2017.0,36693,82.0,2,Automático,Negro,29,True,Valencia,Spain
OPEL,Adam,9700,Gasolina,2017.0,86202,100.0,3,Manual,Azul,10,True,A Coruña,Spain
BMW,Serie 3,16350,Diésel,2015.0,113490,163.0,5,Manual,Gris / Plata,29,True,Madrid,Spain
AUDI,A4,18990,Diésel,2017.0,134337,150.0,4,Manual,Azul (Azul eléctrico),19,True,Madrid,Spain
LAND-ROVER,Discovery Sport,22850,Diésel,2016.0,79000,180.0,5,Manual,Beige (024AZ Pintura metalizada),30,True,Sevilla,Spain
RENAULT,Scénic,1500,Gasolina,2007.0,240000,110.0,5,Manual,Gris / Plata,2,False,Sevilla,Spain
JAGUAR,XE,29900,Gasolina,2015.0,27000,340.0,4,Automático,Blanco,15,False,Murcia,Spain
AUDI,A1,20500,Gasolina,2020.0,5000,95.0,5,Manual,Blanco (Blanco Glaciar),15,True,Barcelona,Spain
TOYOTA,Avensis,8500,Gasolina,2008.0,70000,163.0,5,Automático,Gris / Plata,7,False,Alicante,Spain
HYUNDAI,TUCSON,18900,Diésel,2018.0,44000,115.0,5,Manual,Negro,40,True,Ciudad Real,Spain
CITROEN,Xsara,3000,Gasolina,2002.0,165000,110.0,5,Manual,Gris / Plata,3,False,Madrid,Spain
BMW,X1,23500,Diésel,2018.0,58909,116.0,5,Automático,300 AlpinweiÃ? (sÃ³lido),33,True,Barcelona,Spain
FIAT,Tipo,11900,Diésel,2019.0,16000,95.0,4,Manual,Marrón,11,True,Badajoz,Spain
PEUGEOT,Partner,8900,Diésel,2017.0,136520,75.0,3,Manual,Blanco (BLANCO),18,True,León,Spain
BMW,Serie 3,17850,Diésel,2016.0,110000,163.0,4,Manual,Azul,34,True,Valencia,Spain
VOLKSWAGEN,Tiguan,11950,Diésel,2014.0,216000,140.0,5,Manual,Gris / Plata,13,True,Granada,Spain
DAEWOO,Nubira,1700,Gasolina,2004.0,160000,109.0,4,Manual,Verde,23,False,Madrid,Spain
FIAT,Tipo,17100,Gasolina,2019.0,1,120.0,5,Manual,Azul,8,True,Alicante,Spain
MITSUBISHI,Outlander,30490,Híbrido enchufable,2019.0,19820,224.0,5,Automático,Rojo,35,True,Madrid,Spain
VOLKSWAGEN,Passat,19400,Diésel,2017.0,121800,150.0,5,Manual,Blanco (Puro),52,True,Madrid,Spain
BMW,X2,29500,Diésel,2018.0,23500,150.0,5,Automático,Gris / Plata,6,False,Madrid,Spain
VOLKSWAGEN,Golf,4500,Diésel,2005.0,268000,105.0,3,Automático,Negro,25,True,Valencia,Spain
AUDI,A3,15200,Diésel,2015.0,165000,150.0,3,Manual,Negro,15,False,Valladolid,Spain
PEUGEOT,308,11900,Diésel,2017.0,74950,120.0,5,Manual,Azul,30,True,Ciudad Real,Spain
AUDI,A4,8000,Diésel,2007.0,142000,140.0,4,Manual,Negro,7,False,Castellón,Spain
BMW,X4,52900,Diésel,2018.0,30000,231.0,5,Automático,Negro (CARBONSCHWARZ),13,True,A Coruña,Spain
OPEL,Insignia,17500,Diésel,2018.0,23720,136.0,5,Manual,Gris / Plata (Plata Magnetic),51,True,Ávila,Spain
CITROEN,Berlingo,19900,Diésel,2020.0,1184,102.0,5,Manual,Onyx Negro (sólido),38,True,Cantabria,Spain
VOLKSWAGEN,Scirocco,11490,Gasolina,2010.0,77300,122.0,3,Manual,Negro,33,True,Barcelona,Spain
ABARTH,500C,16500,Gasolina,2018.0,54000,145.0,2,Automático,Negro,26,True,Málaga,Spain
SEAT,Ibiza,14900,Gasolina,2020.0,10,95.0,5,Manual,B4B4 Blanco (sÃ³lido),28,True,Valencia,Spain
FORD,Focus,5500,Diésel,2011.0,130000,109.0,5,Manual,Azul (AZUL OCEANO),41,True,Madrid,Spain
VOLKSWAGEN,Tiguan,8500,Diésel,2008.0,172000,140.0,5,Manual,Gris / Plata,5,False,Castellón,Spain
VOLKSWAGEN,Jetta,6500,Diésel,2012.0,236000,105.0,4,Manual,Negro,4,False,Murcia,Spain
MERCEDES-BENZ,Clase GLA,24500,Diésel,2016.0,46677,136.0,5,Automático,Blanco (Cirro),11,True,La Rioja,Spain
BMW,Serie 3,21900,Gasolina,2007.0,150000,306.0,2,Automático,Negro,8,False,Guadalajara,Spain
BMW,Serie 3,6500,Diésel,2006.0,212000,150.0,4,Manual,Negro,25,True,Madrid,Spain
CITROEN,C4,3000,Diésel,2007.0,220000,92.0,3,Manual,Negro,9,False,Asturias,Spain
PEUGEOT,407,5490,Diésel,2009.0,189990,140.0,4,Manual,Negro,23,True,Sevilla,Spain
OPEL,Grandland X,22400,Diésel,2020.0,5,130.0,5,Manual,Blanco,15,True,Murcia,Spain
KIA,Sportage,13299,Diésel,2015.0,63936,115.0,5,Manual,Blanco,23,True,Madrid,Spain
OPEL,Combo,11999,Diésel,2017.0,66914,95.0,5,Manual,Azul,11,True,Lugo,Spain
RENAULT,Mégane,13500,Gasolina,2019.0,5500,100.0,5,Manual,Blanco,10,True,Huelva,Spain
SEAT,Altea XL,7500,Gasolina,2010.0,115759,125.0,5,Manual,Blanco (*CAS*),29,True,Málaga,Spain
LEXUS,LS,26500,Gasolina,2009.0,120314,380.0,4,Automático,Gris / Plata,19,True,Burgos,Spain
VOLKSWAGEN,Polo,8750,Gasolina,2016.0,88000,75.0,5,Manual,Marrón,24,True,Barcelona,Spain
NISSAN,JUKE,11490,Gasolina,2016.0,99100,115.0,5,Manual,Rojo,35,True,Valencia,Spain
AUDI,Q5,14900,Diésel,2012.0,226000,170.0,5,Automático,Gris / Plata,9,False,Valencia,Spain
CITROEN,C4 Cactus,10500,Diésel,2017.0,50000,100.0,5,Manual,Azul,10,False,Castellón,Spain
VOLKSWAGEN,Golf,16000,Gasolina,2010.0,156000,210.0,5,Manual,Negro,11,False,Navarra,Spain
CITROEN,C-Zero,13500,Eléctrico,2019.0,5,67.0,5,Automático,Blanco,20,True,Valencia,Spain
SEAT,Arona,15990,Gasolina,2019.0,17000,115.0,5,Manual,Naranja,31,True,Tenerife,Spain
NISSAN,QASHQAI,20490,Diésel,2018.0,20000,115.0,5,Manual,Blanco,13,True,Sevilla,Spain
KIA,Rio,8990,Gasolina,2018.0,39000,84.0,5,Manual,Amarillo,19,True,Tenerife,Spain
BMW,Compact,1499,Diésel,2003.0,370000,115.0,3,Manual,Gris / Plata,8,True,Madrid,Spain
VOLKSWAGEN,Touareg,21800,Diésel,2014.0,210000,204.0,5,Automático,Blanco,10,True,Sevilla,Spain
FIAT,Bravo,4990,Diésel,2010.0,130000,120.0,5,Manual,Negro,9,True,Jaén,Spain
FORD,Focus,14000,Diésel,2017.0,57000,120.0,5,Manual,Blanco,7,False,Valladolid,Spain
MERCEDES-BENZ,Clase A,24900,Diésel,2018.0,23604,136.0,5,Automático,Gris / Plata,13,True,Barcelona,Spain
AUDI,A3,17900,Diésel,2017.0,90000,116.0,5,Manual,Blanco,54,True,Jaén,Spain
LEXUS,IS,17099,Gasolina,2013.0,37853,208.0,4,Automático,Gris / Plata,30,True,Madrid,Spain
VOLKSWAGEN,Golf,15600,Gasolina,2009.0,125000,210.0,5,Automático,Gris / Plata,9,False,Barcelona,Spain
AUDI,A6,47900,Diésel,2019.0,28837,204.0,4,Automático,Gris / Plata,17,True,Las Palmas,Spain
PEUGEOT,508,33000,Diésel,2020.0,2000,180.0,5,Automático,Gris / Plata,11,True,Sevilla,Spain
GALLOPER,Super Exceed,5900,Diésel,2002.0,229635,115.0,3,Manual,Gris / Plata,12,True,Valencia,Spain
HONDA,CR-V,14950,Diésel,2013.0,108000,150.0,5,Automático,Negro,18,True,Barcelona,Spain
OPEL,Zafira Tourer,13800,Diésel,2016.0,102378,170.0,5,Automático,G6R Verde Esmeralda (perlado bicapa),33,True,Madrid,Spain
TOYOTA,Corolla,2800,Diésel,2006.0,228000,116.0,5,Manual,Negro,6,True,Alicante,Spain
KIA,Niro,23990,Híbrido,2019.0,6608,141.0,5,Manual,Deep Cerulean Blue (C3U),33,True,Madrid,Spain
MAZDA,Mazda5,11490,Diésel,2013.0,40000,115.0,5,Manual,Blanco,16,True,Barcelona,Spain
OPEL,Mokka X,12099,Diésel,2017.0,94138,110.0,5,Manual,GAZ Blanco Alpino (sÃ³lido),10,True,Madrid,Spain
OPEL,Corsa,16450,Diésel,2020.0,5,102.0,5,Manual,Blanco,19,True,Madrid,Spain
OPEL,Corsa,8900,Diésel,2017.0,57713,95.0,5,Manual,Rojo,10,False,Murcia,Spain
RENAULT,Captur,16650,Gasolina,2020.0,12729,100.0,5,Manual,Azul,11,True,Jaén,Spain
MERCEDES-BENZ,Clase B,5200,Diésel,2007.0,179000,109.0,5,Manual,Gris / Plata,4,False,Barcelona,Spain
SEAT,Ateca,23500,Gasolina,2019.0,27001,150.0,5,Automático,Naranja (NARANJA CITRUS),21,True,Barcelona,Spain
TOYOTA,Corolla,20900,Híbrido,2019.0,13804,122.0,5,Automático,Negro,17,True,Valencia,Spain
CITROEN,Jumpy,14800,Diésel,2016.0,81000,115.0,4,Manual,Blanco,11,True,Cáceres,Spain
BMW,Serie 1,15900,Diésel,2016.0,56079,116.0,5,Manual,Blanco,21,True,Barcelona,Spain
MINI,MINI,8500,Gasolina,2007.0,140000,175.0,3,Manual,Amarillo,8,False,Guadalajara,Spain
PORSCHE,Panamera,83900,Híbrido enchufable,2017.0,92000,462.0,5,Automático,Blanco,54,True,Madrid,Spain
MERCEDES-BENZ,Clase C,25700,Diésel,2016.0,107000,170.0,2,Automático,Azul,39,True,Barcelona,Spain
BMW,X1,21900,Gasolina,2017.0,34989,136.0,5,Manual,Gris / Plata (*BAR*),29,True,Barcelona,Spain
TOYOTA,Auris,9400,Gasolina,2012.0,98100,132.0,5,Manual,Rojo,48,True,Madrid,Spain
MAZDA,MX-5,26900,Gasolina,2019.0,1610,184.0,2,Manual,Blanco,24,True,Pontevedra,Spain
AUDI,A3,29600,Diésel,2020.0,4860,150.0,4,Automático,Negro,11,True,León,Spain
INFINITI,Q50,16990,Diésel,2016.0,68483,170.0,4,Automático,Blanco,43,True,Barcelona,Spain
MERCEDES-BENZ,Clase A,28990,Gasolina,2020.0,10000,136.0,5,Automático,Negro (NEGRO NOCHE),29,True,Jaén,Spain
SEAT,Mii,11600,Gas natural (CNG),2021.0,9,68.0,5,Manual,Blanco,8,True,Badajoz,Spain
FORD,Galaxy,10400,Diésel,2011.0,121000,140.0,5,Automático,Azul,21,True,Lugo,Spain
AUDI,Allroad Quattro,11000,Diésel,2008.0,160000,233.0,5,Automático,Negro,13,False,Albacete,Spain
CITROEN,C3,7900,Diésel,2012.0,67000,68.0,5,Manual,Marrón,6,True,Barcelona,Spain
VOLKSWAGEN,Passat,10490,Diésel,2013.0,174700,140.0,4,Manual,Negro,32,True,Valencia,Spain
PORSCHE,718,58990,Gasolina,2016.0,15000,300.0,2,Automático,Blanco,36,True,Madrid,Spain
VOLVO,V40 Cross Country,14990,Diésel,2017.0,70080,120.0,5,Manual,Rojo,13,True,Madrid,Spain
ABARTH,500,15000,Gasolina,2018.0,26000,145.0,3,Manual,Negro,5,False,Sevilla,Spain
PEUGEOT,208,10510,Gasolina,2018.0,44850,82.0,5,Manual,Rojo (ROJO),19,True,Salamanca,Spain
MERCEDES-BENZ,Clase CLK,6999,Gasolina,2002.0,220000,306.0,2,Automático,Gris / Plata,36,True,Jaén,Spain
OPEL,Insignia,13900,Diésel,2015.0,114000,140.0,5,Manual,Gris / Plata,9,True,León,Spain
TOYOTA,GT86,27990,Gasolina,2018.0,5000,200.0,2,Manual,Naranja,23,True,Las Palmas,Spain
RENAULT,Clio,7400,Diésel,2016.0,126320,75.0,5,Manual,Blanco,34,True,Sevilla,Spain
PEUGEOT,3008,18900,Diésel,2018.0,75000,120.0,5,Manual,Gris / Plata,46,True,A Coruña,Spain
AUDI,Q3,36500,Gasolina,2019.0,13913,150.0,5,Manual,B9B9 Azul Cosmos (metalizada),6,True,Madrid,Spain
MITSUBISHI,ASX,11500,Gasolina,2015.0,82495,117.0,5,Manual,Blanco,19,True,Murcia,Spain
MITSUBISHI,Montero Sport,3990,Diésel,2000.0,321000,99.0,5,Manual,Verde,7,True,Madrid,Spain
BMW,X5,29990,Diésel,2015.0,175000,218.0,5,Automático,Blanco,22,True,Vizcaya,Spain
TOYOTA,C-HR,19400,Híbrido,2018.0,43513,122.0,5,Automático,Blanco (BLANCO),24,True,Barcelona,Spain
MERCEDES-BENZ,Clase CLS,6000,Diésel,2008.0,650000,224.0,4,Automático,Gris / Plata,0,False,Madrid,Spain
PEUGEOT,e-208,27800,Eléctrico,2020.0,3200,136.0,5,Automático,Rojo,5,True,Alicante,Spain
NISSAN,QASHQAI,19499,Diésel,2018.0,64844,110.0,5,Manual,Gris / Plata,26,True,Madrid,Spain
TESLA,Model S,49900,Eléctrico,2017.0,155000,525.0,5,Automático,Blanco,12,False,Madrid,Spain
FORD,Fiesta,600,Gasolina,1996.0,170000,50.0,3,Manual,Azul,0,False,A Coruña,Spain
VOLKSWAGEN,Tiguan,29990,Diésel,2017.0,99786,190.0,5,Automático,Gris / Plata,54,True,Pontevedra,Spain
OPEL,Meriva,2495,Diésel,2006.0,200000,100.0,5,Manual,Gris / Plata,11,True,Madrid,Spain
MERCEDES-BENZ,Clase SLK,10890,Gasolina,2008.0,129990,163.0,2,Manual,Gris / Plata,1,True,Sevilla,Spain
MERCEDES-BENZ,Clase A,25990,Diésel,2019.0,17000,116.0,5,Automático,Negro,11,True,Las Palmas,Spain
FIAT,500,9999,Gasolina,2018.0,29000,69.0,3,Automático,Blanco,7,False,Sevilla,Spain
NISSAN,QASHQAI+2,11500,Diésel,2014.0,121100,130.0,5,Manual,Blanco,9,True,Madrid,Spain
MERCEDES-BENZ,Clase E,24900,Diésel,2014.0,86000,252.0,4,Automático,Gris / Plata,18,True,Álava,Spain
AUDI,A4,3490,Gasolina,2002.0,218000,220.0,5,Manual,Azul,14,True,Vizcaya,Spain
RENAULT,Trafic,12795,Diésel,2017.0,164200,95.0,4,Manual,Blanco,27,True,Madrid,Spain
HYUNDAI,Kona,17000,Gasolina,2019.0,27000,120.0,5,Manual,Blanco,12,False,Toledo,Spain
RENAULT,Talisman,14900,Diésel,2017.0,149599,160.0,5,Automático,Rojo (Burdeos),21,True,Madrid,Spain
MERCEDES-BENZ,Clase B,5999,Diésel,2008.0,224000,109.0,5,Manual,Gris / Plata (OSCURO),3,True,Madrid,Spain
MERCEDES-BENZ,Vito,3200,Diésel,2001.0,207000,122.0,4,Manual,Gris / Plata,8,False,Las Palmas,Spain
AUDI,A3,17800,Gas natural (CNG),2017.0,67236,110.0,5,Manual,Blanco,12,True,Sevilla,Spain
MERCEDES-BENZ,Clase CLA,24890,Diésel,2017.0,60000,136.0,4,Automático,Blanco,13,True,Sevilla,Spain
PEUGEOT,5008,29375,Gasolina,2020.0,0,130.0,5,Manual,Gris / Plata,29,True,Valencia,Spain
MERCEDES-BENZ,GLC Coupé,43900,Diésel,2017.0,85000,204.0,5,Automático,Blanco,35,True,Valladolid,Spain
MERCEDES-BENZ,Clase GLE Coupé,61254,Diésel,2018.0,14100,258.0,5,Automático,Negro,24,True,Madrid,Spain
MERCEDES-BENZ,Clase C,2600,Diésel,2002.0,400000,116.0,4,Manual,Negro,10,False,Vizcaya,Spain
MERCEDES-BENZ,Clase CLA,32900,Diésel,2019.0,22890,170.0,4,Manual,Blanco (BLANCO),19,True,Lugo,Spain
RENAULT,Mégane,1500,Diésel,2005.0,257000,100.0,5,Manual,Negro,6,False,Tarragona,Spain
MINI,Countryman,27400,Diésel,2020.0,4498,150.0,5,Manual,Blanco,16,True,Valencia,Spain
HYUNDAI,Santa Fe,19290,Diésel,2015.0,107000,197.0,5,Automático,Gris / Plata,38,True,Vizcaya,Spain
RENAULT,Captur,11990,Gasolina,2014.0,39100,120.0,5,Automático,Beige,28,True,Sevilla,Spain
OPEL,Crossland X,15500,Gasolina,2019.0,15426,110.0,5,Manual,Negro,53,True,Murcia,Spain
CITROEN,C8,5000,Diésel,2006.0,40000,130.0,5,Manual,Negro,10,False,Toledo,Spain
RENAULT,Clio,9200,Diésel,2017.0,41809,75.0,5,Manual,369 Blanco Glaciar (opaco),26,True,Madrid,Spain
NISSAN,QASHQAI,9900,Diésel,2013.0,165000,130.0,5,Manual,Blanco,16,True,Vizcaya,Spain
OPEL,Corsa,5900,Diésel,2010.0,90600,75.0,5,Manual,Gris / Plata,18,True,Valencia,Spain
BMW,Serie 3,1800,Gasolina,2000.0,120000,105.0,3,Manual,Gris / Plata,10,False,Barcelona,Spain
